repo,default_branch,branch,ahead,behind,status,disposition,reason
EoSim,master,chore/production-ready-cicd,0,5,behind,delete-stale,every commit already on default (behind 5)
EoSim,master,feat/core-module,0,34,behind,delete-stale,every commit already on default (behind 34)
EoSim,master,feat/implement-stubs-cicd,0,32,behind,delete-stale,every commit already on default (behind 32)
EoSim,master,security-hardening,1,33,diverged,inspect,security work (1 ahead) — must not be silently dropped
EoStudio,master,chore/production-ready-cicd,0,5,behind,delete-stale,every commit already on default (behind 5)
EoStudio,master,feat/core-module,0,39,behind,delete-stale,every commit already on default (behind 39)
EoStudio,master,feat/implement-stubs-cicd,0,37,behind,delete-stale,every commit already on default (behind 37)
EoStudio,master,fix/eostudio-quality-gaps,0,16,behind,delete-stale,every commit already on default (behind 16)
EoStudio,master,security-hardening,1,38,diverged,inspect,security work (1 ahead) — must not be silently dropped
eAI,master,achievement/update-gitignore,0,29,behind,delete-stale,every commit already on default (behind 29)
eAI,master,chore/production-ready-cicd,0,3,behind,delete-stale,every commit already on default (behind 3)
eAI,master,ci/add-codeowners,1,35,diverged,inspect,CODEOWNERS bump (1 ahead) — verify if applied to default already
eAI,master,cleanup/url-fixes,0,31,behind,delete-stale,every commit already on default (behind 31)
eAI,master,dependabot/github_actions/actions/setup-python-6,1,38,diverged,close-pr-then-delete,dependabot branch superseded by current default
eApps,master,chore/production-ready-cicd,0,3,behind,delete-stale,every commit already on default (behind 3)
eApps,master,ci/add-auto-assign,1,30,diverged,inspect,"unknown branch shape (1 ahead, 30 behind)"
eApps,master,ci/disable-dependabot,1,30,diverged,inspect,"unknown branch shape (1 ahead, 30 behind)"
eApps,master,dependabot/github_actions/actions/checkout-6,1,30,diverged,close-pr-then-delete,dependabot branch superseded by current default
eApps,master,dependabot/github_actions/actions/configure-pages-6,1,30,diverged,close-pr-then-delete,dependabot branch superseded by current default
eApps,master,fix/lvgl-symbol-defines,0,29,behind,delete-stale,every commit already on default (behind 29)
eApps,master,fix/remove-duplicate-eostudio-hardware-module,1,28,diverged,inspect,"feature/fix branch (1 ahead, 28 behind) — review commits"
eApps,master,refactor/extract-standalone-products,1,30,diverged,inspect,"feature/fix branch (1 ahead, 30 behind) — review commits"
eBoot,master,achievement/update-gitignore,1,24,diverged,inspect,GitHub achievement branch (1 ahead) — likely no real value
eBoot,master,chore/production-ready-cicd,0,2,behind,delete-stale,every commit already on default (behind 2)
eBoot,master,ci/add-codeowners,1,27,diverged,inspect,CODEOWNERS bump (1 ahead) — verify if applied to default already
eBoot,master,dependabot/github_actions/github/codeql-action-4,1,29,diverged,close-pr-then-delete,dependabot branch superseded by current default
eBoot,master,feat/implement-stubs-cicd,0,23,behind,delete-stale,every commit already on default (behind 23)
eBoot,master,security-hardening,1,24,diverged,inspect,security work (1 ahead) — must not be silently dropped
eBrowser,master,chore/production-ready-cicd,0,3,behind,delete-stale,every commit already on default (behind 3)
eCAD-Hardware-Products,master,chore/production-ready-cicd,0,4,behind,delete-stale,every commit already on default (behind 4)
eCAD-Hardware-Products,master,feat/eRadar360,0,42,behind,delete-stale,every commit already on default (behind 42)
eCAD-Hardware-Products,master,feat/eradar360-cad-complete,0,40,behind,delete-stale,every commit already on default (behind 40)
eDB,master,chore/production-ready-cicd,0,3,behind,delete-stale,every commit already on default (behind 3)
eDB,master,dependabot/github_actions/actions/checkout-6,1,3,diverged,close-pr-then-delete,dependabot branch superseded by current default
eDB,master,dependabot/github_actions/actions/setup-python-6,1,3,diverged,close-pr-then-delete,dependabot branch superseded by current default
eDB,master,dependabot/github_actions/docker/login-action-4,1,3,diverged,close-pr-then-delete,dependabot branch superseded by current default
eDB,master,dependabot/github_actions/github/codeql-action-4,1,26,diverged,close-pr-then-delete,dependabot branch superseded by current default
eDB,master,dependabot/github_actions/toshimaru/auto-author-assign-3.0.1,1,26,diverged,close-pr-then-delete,dependabot branch superseded by current default
eDB,master,dependabot/pip/cryptography-gte-46.0.7,1,26,diverged,close-pr-then-delete,dependabot branch superseded by current default
eDB,master,dependabot/pip/fastapi-gte-0.136.0,1,26,diverged,close-pr-then-delete,dependabot branch superseded by current default
eDB,master,dependabot/pip/httpx-gte-0.28.1,1,26,diverged,close-pr-then-delete,dependabot branch superseded by current default
eDB,master,dependabot/pip/ruff-gte-0.15.11,1,26,diverged,close-pr-then-delete,dependabot branch superseded by current default
eDB,master,dependabot/pip/uvicorn-gte-0.44.0,1,26,diverged,close-pr-then-delete,dependabot branch superseded by current default
eIPC,master,achievement/update-gitignore,0,28,behind,delete-stale,every commit already on default (behind 28)
eIPC,master,chore/production-ready-cicd,0,4,behind,delete-stale,every commit already on default (behind 4)
